anio,cuatrimestre,nota_p1,p1_rozamiento,p1_oscilaciones,p1_sni,concepto_p1,nota_p2,nota_r1,nota_r2,nota_final,hash
2023,1,0.0,0.0,0.0,0.0,NE,,,,,a63b893b84ba71ed6f229c01a5d8e49c
2023,1,6.1,6.3,3.0,9.0,A,,,,,a4394fd3d8f57c53e9c6c3c876a70d8e
2023,1,0.0,0.0,0.0,0.0,NE,,,,,d38147bef6e464788136170297ada175
2023,1,0.8,2.5,0.0,0.0,I,,,,,266c3eaf0a3c3f9a4cb8596a334faa67
2023,1,0.0,0.0,0.0,0.0,I,,,,,6a13c5e3d4ef58d905d2370ff7582afb
2023,1,5.1,2.5,7.0,5.8,A-,,,,,c57b689d1ce19327c45e3c7ad66892ad
2023,1,0.7,0.0,2.0,0.0,I,,,,,a1f64c48acb32a3d6ca7016a996f0fcb
2023,1,4.0,0.0,4.0,8.0,I,,,,,1c2cb445647b8b210fe9decbd0aa4925
2023,1,0.0,0.0,0.0,0.0,NE,,,,,7e4e975e2878daa8f0430ef797f3622b
2023,1,0.0,0.0,0.0,0.0,NE,,,,,d9828fcae716345ee84e07c784c2ea89
2023,1,6.9,4.8,6.5,9.5,A,,,,,079ef6c5651509f3e3f2b25a26eb79f1
2023,1,0.9,2.3,0.5,0.0,I,,,,,44a7782214d5f2cd0c725b501d2a950e
2023,1,2.7,8.0,0.0,0.0,I,,,,,d5b53d5467db6d3583926854c427d6bb
2023,1,2.0,5.0,0.0,1.0,I,,,,,4f399008774da3e12665504303d7ec6a
2023,1,6.7,6.0,6.0,8.0,A,,,,,fce863c6b2433105c5865988593e8242
2023,1,8.4,8.3,8.0,9.0,A,,,,,f4fee7bdbbadd425943e8a94194d5a53
2023,1,5.6,5.3,5.5,6.0,A-,,,,,27e990919154869daec8d1be52cb2eea
2023,1,0.0,0.0,0.0,0.0,NE,,,,,039493dcc83be04260ad798dc932e131
2023,1,7.1,6.8,6.0,8.5,A,,,,,43e8d95c20f5591376654fa0d800fd9c
2023,1,2.0,4.0,2.0,0.0,I,,,,,efc20489e7bc9345ca67d979380083ae
2023,1,0.0,0.0,0.0,0.0,NE,,,,,96ebd9190e82cc050d6e9b26a7e6adb7
2023,1,7.1,9.3,8.0,4.0,A,,,,,2b93fb12a4d3876ea4ae73443ec02a9b
2023,1,7.2,9.5,4.5,7.5,A,,,,,bcf81cd6d3490341cd288c9641bf84b7
2023,1,6.5,7.5,5.5,6.5,A,,,,,28c8ff30cd6a263a8b495147666a6b5d
2023,1,0.0,0.0,0.0,0.0,NE,,,,,ba24fe4e61e99f1957339a589e0b215e
2023,1,0.0,0.0,0.0,0.0,NE,,,,,8df08b99c491faefdec7527038dc112c
2023,1,9.1,8.8,8.5,10.0,A,,,,,13576a505d36b37d1af917902d007d7e
2023,1,0.6,1.5,0.0,0.3,I,,,,,b8787bcbbbf0668efd2f366c1e9ec004
2023,1,3.2,2.5,3.0,4.0,I,,,,,eba4ac21412d8049785c8216fde21e65
2023,1,0.0,0.0,0.0,0.0,NE,,,,,63ce791260ec0de294a3c11a4039d3d1
2023,1,0.0,0.0,0.0,0.0,NE,,,,,3f61523faca99e7a62f510788cd77ca4
2023,1,1.9,0.8,5.0,0.0,I,,,,,abc8a277a9ec56b6792ee58e31b0d179
2023,1,0.0,0.0,0.0,0.0,NE,,,,,e814da1d46d0a4f1f9c8784923bed9b0
2023,1,6.3,9.3,3.5,6.0,A,,,,,55b69b8cc915b2811c1ecdc51ca3fed5
2023,1,5.3,3.8,7.5,4.8,A-,,,,,571cae54ee43d115ed9321b23753eb07
2023,1,0.0,0.0,0.0,0.0,NE,,,,,d9a4fa55940626e0a5c712dd13706444
2023,1,4.3,5.5,3.0,4.5,I,,,,,ef93b56039680d41a073946076828e40
2023,1,6.2,6.5,5.0,7.0,A,,,,,cec20a9b0a1e94fb1b353eff1b174c97
2023,1,0.0,0.0,0.0,0.0,NE,,,,,67ae5df7042587994d11f1da1dcc9a96
2023,1,0.0,0.0,0.0,0.0,I,,,,,3ead3339e1b341ad71d5809caedbb3dd
2023,1,5.6,8.8,6.0,2.0,A-,,,,,74f3d4ae5cf8eae5794674c4a12ef357
2023,1,3.8,2.5,2.0,6.8,I,,,,,9c051aa50d7cfa0148400e8fb34f2eed
2023,1,2.1,6.3,0.0,0.0,I,,,,,9fac952a6439f17207c1fbc5cf6ba502
2023,1,0.0,0.0,0.0,0.0,NE,,,,,0af835d78cd4d4fa5a1d2613948e5a4b
2023,1,0.0,0.0,0.0,0.0,NE,,,,,4c764dab683393a9afd1276972e4597b
2023,1,0.0,0.0,0.0,0.0,NE,,,,,3463cde8beb8f323c4f0a2c89a7418ee
2023,1,0.0,0.0,0.0,0.0,NE,,,,,89f1f891b10bf07fc0aa889f2f11d01e
2023,1,0.0,0.0,0.0,0.0,NE,,,,,23886c290c31da022ac9ce4cdfab703e
2023,1,8.0,7.5,8.5,8.0,A,,,,,6008dd587fd5f4aa6e72d4c30b957cd1
2023,1,0.0,0.0,0.0,0.0,NE,,,,,4e41c5e6feb702bdceb6edd9bae37022
2023,1,0.0,0.0,0.0,0.0,NE,,,,,07756af511725191c754deb02cc75192
2023,1,0.0,9.3,6.0,3.0,A,,,,,4979e15273ef2fce3182a8c6a7ca514c
2023,1,0.0,0.0,0.0,0.0,NE,,,,,fea58fcdf3ee803d64ecaadb164d85fb
2023,1,8.7,9.0,7.0,10.0,A,,,,,f2b3f433262ad747e8edd36443f1e3ae
2023,1,5.9,6.3,3.5,8.0,A,,,,,e9e27cfca484901a4e18b380f68fe3c3
2023,1,8.1,6.8,9.0,8.5,A,,,,,3f0608e211e87bde0a8e57127377cb06
2023,1,6.2,10.0,5.5,3.0,A,,,,,4fe1bc5849ada4eaa5f55ed8321d3c78
2023,1,4.9,6.0,5.5,3.3,A-,,,,,ddac6d5ad757e225105850024b9f9215
2023,1,0.0,0.0,0.0,0.0,NE,,,,,38973d6738f3a3910e649c4954a56b9a
2023,1,6.0,6.8,6.5,4.8,A,,,,,f8f5572b459f22df2d37b5b70dff6621
2023,1,0.0,0.0,0.0,0.0,NE,,,,,3b57b405bda9ffc1e665e94dad015e51
2023,1,7.7,8.8,8.5,5.8,A,,,,,3e937465526b8a472250de8949f4d3a9
2023,1,0.0,0.0,0.0,0.0,NE,,,,,d848fa3ca0330185e1c75e0d3d6106e1
2023,1,0.0,0.0,0.0,0.0,NE,,,,,f660b319d84ae2f8eb49e8b70534aeee
2023,1,0.0,0.0,0.0,0.0,NE,,,,,97c73d692fbad7ed680cf368601b589c
2023,1,6.6,6.5,6.0,7.3,A,,,,,ebb9ebc84c9d907196f2f4a51862552a
2023,1,5.1,6.0,2.5,6.8,A-,,,,,d61531a9e2b781f1907e078b82d41c64
2023,1,1.5,4.5,0.0,0.0,I,,,,,553344d038eb912d131a11d7b39d8ffb
2023,1,0.6,1.8,0.0,0.0,I,,,,,b9646350c9c64206f5b12dd017d7d16b
2023,1,6.3,8.3,5.5,5.0,A,,,,,5fdbdae24eb2f2915784b756ad713df9
2023,1,6.2,8.5,8.0,2.0,A,,,,,4e78fcaffa74be28f740060f858e29cc
2023,1,0.0,0.0,0.0,0.0,NE,,,,,e9a3b0fdb794e7e22d47121b725fc7a2
2023,1,3.7,8.3,2.5,0.3,I,,,,,12405c46181869c385e676353f26bfeb
2023,1,7.6,5.3,9.5,8.0,A,,,,,745fc848c103c36cb9f8220a6944f508
2023,1,1.3,1.3,1.5,1.0,I,,,,,57cfbe0333ff4dc00995a7242312fe0b
2023,1,0.0,0.0,0.0,0.0,NE,,,,,91cc217151c4215b6c37317e3044fa83
2023,1,7.4,9.3,6.0,7.0,A,,,,,6db9e4f17fb110e7eefdfd29d4ef08c2
2023,1,0.7,1.0,1.0,0.0,I,,,,,2900b8b95f216f94c1c77f1c0c629e8a
2023,1,5.8,7.8,4.5,5.3,A-,,,,,560c707e07d6125c1e245a22246d7caa
2023,1,5.4,6.3,6.0,4.0,A-,,,,,50a4ba40e72ca51b3cf375e302b71123
2023,1,6.3,6.8,3.5,8.5,A,,,,,4bd732b08c1af87689846bd30a898861
2023,1,6.1,9.8,5.5,3.0,A,,,,,2a66223d7e46bfb9f3470a17752c4b98
2023,1,5.8,7.3,3.5,6.5,A-,,,,,2d0286762b53cc922a0bf336ee734576
2023,1,1.9,5.3,0.5,0.0,I,,,,,937d1224603fbd00a05c8a74cda522cf
2023,1,7.3,6.0,8.0,8.0,A,,,,,ccf14ae3e6aad4eb21f8c9370396df59
2023,1,5.3,7.5,6.5,2.0,A-,,,,,07d14f5c0922bdfd89dbddf4d143773c
2023,1,9.3,8.8,9.5,9.8,A,,,,,685d2eb3aa66f93fa2926c0604f7f54b
2023,1,4.6,5.8,3.5,4.5,I,,,,,c561034b32decab238e56b86aa288d5f
2023,1,0.0,0.0,0.0,0.0,NE,,,,,5c09e470b740b785f6ed367561775bf5
2023,1,2.3,3.5,2.5,0.8,I,,,,,8ef58550dad4527c33ee952c0d75fb77
2023,1,0.0,0.0,0.0,0.0,NE,,,,,b6d53dcc4b9d4f5a5b9f212954fce6d1
2023,1,0.0,0.0,0.0,0.0,NE,,,,,b37cca04b51d92fb107bedd0a21528b5
2023,1,0.0,0.0,0.0,0.0,NE,,,,,c29c99a551f04dcc956fde23e65f5489
2023,1,0.0,0.0,0.0,0.0,NE,,,,,1b93350dcdea25d9c3536be20cb0622a
2023,1,0.0,0.0,0.0,0.0,NE,,,,,da93a63c0a05793c2e414b0bf60380e1
2023,1,4.5,5.0,4.5,4.0,I,,,,,63c5f625bc75d84a3efcc9af4816396c
2023,1,3.3,8.8,0.0,1.0,I,,,,,e9d462854c122e6c35ffe06086d60f1a
2023,1,6.6,4.3,9.5,6.0,A,,,,,7c235163f5b50510287bc53453c603e4
2023,1,0.0,0.0,0.0,0.0,I,,,,,64fc95353a1c3ce331d6957e5b7daf4c
2023,1,5.8,2.5,6.5,8.3,A-,,,,,cb09bff699d07b84427789e91c8989f3
2023,1,5.5,7.8,3.5,5.3,A-,,,,,645ea2facf8bde2327e9de8267ad5f57
2023,1,5.9,8.0,5.0,4.8,A-,,,,,4ae19f4003b8bf580dd79e08b3446896
2023,1,3.1,4.3,4.0,1.0,I,,,,,9e35034fe295777b8fdf777d65e13e57
2023,1,7.1,6.8,6.5,8.0,A,,,,,d4821255e76c0c34afb20348ad02cf64
2023,1,7.3,9.0,5.0,8.0,A,,,,,002ce0b9c302375f8a431b2eb9ea1a04
2023,1,2.8,5.5,3.0,0.0,I,,,,,42c044ce5bb6649e6eb2e09adaf5f507
2023,1,8.6,9.8,9.0,7.0,A,,,,,2de7e9326c68209446f41b340ab622d6
2023,1,0.0,0.0,0.0,0.0,NE,,,,,f48410fbe622c8e308d6e5c45f5a2c75
2023,1,7.6,6.3,7.5,9.0,A,,,,,680bc022704a215a7e0af922aeb23667
2023,1,5.7,4.8,3.3,9.0,A-,,,,,e41100cc1b8ee4af5415be1e5deaf370
2023,1,7.8,9.3,7.0,7.0,A,,,,,c266ff559289e9ba83ad34b13036d0f8
2023,1,0.0,0.0,0.0,0.0,NE,,,,,49688947b3e0215f0fe8a68b05c1a68d
2023,1,0.0,0.0,0.0,0.0,NE,,,,,50f62aabbb3093eabb952ccbcc2cdc0c
2023,1,3.3,5.5,4.5,0.0,I,,,,,3b1e36eaa5889faae98efd9b80c01bc8
2023,1,0.0,0.0,0.0,0.0,NE,,,,,aa4eb395dc963e9da119f6c532cc054c
2023,1,0.0,0.0,0.0,0.0,NE,,,,,72a27c4fe652cf6380b685e577eecb19
2023,1,2.5,1.5,2.0,4.0,I,,,,,232f1bf7232205f92273fad9eb07e9df
2023,1,0.0,0.0,0.0,0.0,NE,,,,,e18e89765e9bb932f7bdb8865e36fc48
2023,1,0.0,0.0,0.0,0.0,NE,,,,,6b587bdf5f59bd8f017338371b5eecb0
2023,1,0.0,0.0,0.0,0.0,NE,,,,,85ff92027d54f929d11a58a75c901bb0
2023,1,0.0,0.0,0.0,0.0,NE,,,,,1acd75db5688a81a31caa6089647d9cb
2023,1,0.0,0.0,0.0,0.0,NE,,,,,23a0ad2e90558bc11e24f56b4af7b9c0
2023,1,7.6,7.3,7.5,8.0,A,,,,,7a6a8379af78c9cca6737d6d5864502a
2023,1,1.3,1.8,1.0,1.0,I,,,,,21319265d50df82095486c9cf4f2146c
2023,1,2.2,6.5,0.0,0.0,I,,,,,3d856f31f0666f52a97ce74ff1336ceb
2023,1,7.9,9.5,6.5,7.7,A,,,,,9a31f43b858a48d7c04e925ace3e8943
2023,1,0.0,0.0,0.0,0.0,NE,,,,,7bd2cab50e9f6588a43e6df2d5324644
2023,1,0.0,0.0,0.0,0.0,NE,,,,,2f7529c57a15b53e3d12e326aa6cdce3
2023,1,1.4,4.3,0.0,0.0,I,,,,,db21b6b198b02810b501fb0a286e5263
2023,1,0.0,0.0,0.0,0.0,NE,,,,,ddeddd1d456e415021155af73af54de3
2023,1,0.0,0.0,0.0,0.0,NE,,,,,c69dcaf2ad1d095c7fe204617039440c
2023,1,8.9,8.8,8.5,9.5,A,,,,,02048b16fe535e36b1339903e62892da
2023,1,5.0,7.5,2.5,5.0,A-,,,,,16518a65c9506fda24a0853938945dc8
2023,1,0.8,1.8,0.0,0.5,I,,,,,9beb7be4a2ff2f78aa221d5ca42167e0
2023,1,0.0,0.0,0.0,0.0,NE,,,,,6f477a12dfc3d99435b95970fa34c764
2023,1,5.2,2.5,6.0,7.0,A-,,,,,67452fb904775de20c3b8b80b4c86bce
2023,1,6.9,9.8,10.0,1.0,A,,,,,8f2e56c332cc0d3c01f52ca115c165de
2023,1,0.0,0.0,0.0,0.0,NE,,,,,11d54eb5fc3ab73a023756f9def37593
2023,1,1.0,3.0,0.0,0.0,I,,,,,9fb979d215f007d2284f0c48cba33a25
2023,1,0.0,0.0,0.0,0.0,NE,,,,,def707bd07a82bdaa8126cdfee3fbd4c
2023,1,8.0,10.0,6.0,8.0,A,,,,,524dfd29114581d17fea88c728c8b5c9
2023,1,0.0,0.0,0.0,0.0,NE,,,,,10d877bf5c4e7ec2d24a459bfaa77fc9
2023,1,0.0,0.0,0.0,0.0,NE,,,,,0f8fe3fb74d87e321400e34abbd62d5d
2023,1,2.4,4.8,2.5,0.0,I,,,,,0da4f29a4146df3dd4ee62d413090a47
2023,1,7.5,5.5,7.0,10.0,A,,,,,2af54caaa3c51a226b3625514a7f6604
2023,1,5.2,8.0,3.5,4.1,A-,,,,,f793724d18b829d151b16a138f2ae3f6
2023,1,7.5,5.5,8.0,9.0,A,,,,,02998f6c2d66924dc6ba6bdd0eb40fce
2023,1,0.0,0.0,0.0,0.0,NE,,,,,70a0e556d2bef8d8ff86d2e5a718b316
2023,1,9.2,10.0,9.0,8.5,A,,,,,c7d59634cf6ebaa552eef1e49724ef76
2023,1,2.3,4.3,1.5,1.3,I,,,,,a226a22dc56a8fc4d52aff657b23b1f6
2023,1,8.1,8.8,8.0,7.5,A,,,,,f7bc77c45573f92a5c9be8a41d01e036
2023,1,1.9,5.0,0.5,0.3,I,,,,,ae8d3780182d46b4ef379546a0e30d14
2023,1,2.8,5.0,3.0,0.5,I,,,,,2f83d35e7b25e680d036073f233212c9
2023,1,5.9,7.8,3.0,7.0,A-,,,,,8c429936bc44638d66c2d4048f7203f8
2023,1,5.6,5.0,5.0,6.8,A-,,,,,f8a634f5d7be11b9ad181e91b067d5cf
2023,1,6.3,9.3,3.5,6.0,A,,,,,b76a30b54713acebd6dddbc43872d945
2023,1,6.9,9.3,7.5,4.0,A,,,,,e1f1866ef1b3b89becd80c49bdddcd2e
2023,1,6.4,5.3,5.5,8.5,A,,,,,53204bcac84e8fe57692ed4cad881308
2023,1,3.0,4.5,4.5,0.0,I,,,,,18d54f563c969d4a886914824eecb5df
2023,1,0.0,0.0,0.0,0.0,NE,,,,,74974d6e7dd56822892a8cdad75c4d78
2023,1,7.8,9.8,7.0,6.5,A,,,,,a031677d2b48b0261a89b4ebaedfbe5e
2023,1,3.4,9.2,1.0,0.0,I,,,,,d08ea071d25d10a12473095c1dd15395
2023,1,8.3,7.3,9.5,8.0,A,,,,,f85a9031a73b3d5f4af4392b29258a01
2023,1,7.9,8.8,5.0,10.0,A,,,,,0c622cc91a71a17168c170f1fd9fdc62
2023,1,4.5,7.8,2.5,3.3,I,,,,,a8246faaccaa909bdbb34e483bd12bd3
2023,1,0.0,0.0,0.0,0.0,I,,,,,202f6f1fdc2f74474de75edbe5c5e572
2023,1,8.0,9.3,7.8,7.0,A,,,,,743f8aab1295673ee594a1f7b369d712
2023,1,0.0,0.0,0.0,0.0,NE,,,,,956c9ce6605544996aae43f20b2b2155
2023,1,2.3,7.0,0.0,0.0,I,,,,,cfe5abadf5576b6fec5e9812896c43c2
2023,1,0.0,0.0,0.0,0.0,NE,,,,,8bad9a8d69b7d42615d23f94e1ea41d5
2023,1,2.4,5.8,1.5,0.0,I,,,,,29ce0bf565420b47118d8a0176eb708d
2023,1,8.1,8.3,7.0,9.0,A,,,,,a0cb3890e2788fee5b59a48021d224fa
2023,1,0.7,1.5,0.5,0.0,I,,,,,11edbcce8c5ccfcfbdd41b3c56f7b197
2023,1,0.8,2.5,0.0,0.0,I,,,,,29fdc26a03a5b64dd7169af06bdc9d30
2023,1,0.0,0.0,0.0,0.0,NE,,,,,48942b60da46fcf2e429b2d575a3b982
2023,1,1.1,2.3,1.0,0.0,I,,,,,ab47c7ec0dec78146a6c94ce1d3e4ca6
2023,1,7.9,8.0,6.8,9.0,A,,,,,162500a825ef44181e86e1cb7d944c7c
2023,1,4.8,6.0,4.0,4.5,I,,,,,54524e8472f0831be4f2d8be28fda3c2
2023,1,0.0,0.0,0.0,0.0,NE,,,,,73d5f01646a22c1587585c1705803c23
2023,1,5.1,6.8,1.5,7.0,A-,,,,,d488b7314fb76c19d898c259fb35a1c0
2023,1,0.0,0.0,0.0,0.0,NE,,,,,ea195248fd3366d5e519e60f6f441b8f
2023,1,8.6,9.3,8.0,8.5,A,,,,,80b3eed0b1335d8511adceaae53e8be0
2023,1,2.3,1.3,1.5,4.0,I,,,,,16d208661ee663d1026bb4b994e150e8
2023,1,4.9,5.3,4.5,5.0,A-,,,,,ca6863a626e1bcaf1da8ada21658044c
2023,1,4.2,4.5,1.0,7.0,I,,,,,eab58bf30f29ac4907ecc79d4d31015d
2023,1,6.5,9.0,6.5,4.0,A,,,,,14ea37d210eafff25036ef8a1191f5df
2023,1,3.9,4.5,4.5,2.8,I,,,,,4d7284431f91b469602c7c9bbad34732
2023,1,6.3,10.0,4.0,5.0,A,,,,,bb99636c98c2cb46dead32982d744e27
2023,1,0.0,0.0,0.0,0.0,NE,,,,,cd336bc76fc27ef396ada96177b49ef2
2023,1,9.5,9.3,9.5,9.8,A,,,,,a5e5e866a7b8e53f915e472aec360a7e
2023,1,5.3,9.0,7.0,0.0,I,,,,,3e27c434ce9744330d2928f11d2967ca
2023,1,3.7,2.5,4.0,4.5,I,,,,,0d63223e21233923158c3e7df1b924df
2023,1,0.7,2.0,0.0,0.0,I,,,,,3e1701a1a012c04a9a28aa578814bc7d
2023,1,8.2,7.3,8.5,8.8,A,,,,,ba69dbca94b68f338390b02803630982
2023,1,6.3,9.0,2.5,7.5,A,,,,,90e1ce7eb336251c22c9c4e73527f305
2023,1,0.0,0.0,0.0,0.0,NE,,,,,e31847f5566068959d43d8dcfe41e0b1
2023,1,8.4,9.3,6.0,10.0,A,,,,,93f0f4f445ac428b2e3ecff903ccb902
2023,1,0.0,0.0,0.0,0.0,NE,,,,,854a5797cc0c2abcd0cb3c5ae3fce9e0
2023,1,8.0,7.5,6.5,10.0,A,,,,,d8d4ddf23d1029cd263b6b03ee67a1f7
2023,1,0.0,0.0,0.0,0.0,NE,,,,,e8e6ee481c4b00e5d2ade672bceb3f57
2023,1,2.0,6.0,0.0,0.0,I,,,,,8965e35eceb754916bec418295f62b02
2023,1,5.4,7.8,4.5,4.0,A-,,,,,295d240982313cc8b5374ef44ffd3f8f
2023,1,2.3,5.3,0.0,1.8,I,,,,,804869917657e60ff70fc561cad82379
2023,1,0.0,0.0,0.0,0.0,NE,,,,,5b43e02e56511efebe7f5046cb4ff143
2023,1,0.0,0.0,0.0,0.0,NE,,,,,1acd1737319e721437cde3d2b0d545c5
2023,1,5.3,5.0,10.0,1.0,I,,,,,916e0d1f401263f4165fc45ed0ea1f71
2023,1,2.5,6.5,1.0,0.0,I,,,,,6f576cf26656c36c09ab86d881deb308
2023,1,5.1,8.8,5.5,1.0,I,,,,,4ac89e872eae2c05adec03acd1934b45
2023,1,5.8,9.5,5.0,3.0,A-,,,,,580319d76cd40f4ceb7828a5f2ea1fa0
2023,1,6.3,6.0,6.0,7.0,A,,,,,0c23f2d7f918ac4bc091c2305996c114
2023,1,4.5,6.3,4.0,3.3,I,,,,,dd40b91c86f7e6278c314baeb2997e48
2023,1,1.6,4.8,0.0,0.0,I,,,,,ca47f5fa00a620acdc38cf05d4b99293
2023,1,1.8,2.3,2.0,1.0,I,,,,,01c397613d08438c00c996132f983454
2023,1,0.0,0.0,0.0,0.0,NE,,,,,b861418b82ede62caff8aa1225cf3a50
2023,1,0.0,0.0,0.0,0.0,NE,,,,,11d1fa2086874af32cba5fa87d96b40d
2023,1,5.8,8.5,5.0,4.0,A-,,,,,2e6e1da775c7a6ca859a71b2fa7085f0
2023,1,7.8,8.5,8.0,7.0,A,,,,,cd07d96a70787ad8959dced25dcdf242
2023,1,0.0,0.0,0.0,0.0,I,,,,,8d9c87867a205a77d0615218d1c16b70
2023,1,1.2,2.5,1.0,0.0,I,,,,,c835ac801d9230c845114073f3ff0846
2023,1,1.8,3.8,0.5,1.0,I,,,,,bf522723016fb84833bb2b3639bf7a0e
2023,1,0.0,0.0,0.0,0.0,NE,,,,,77b540aa4069490cfc6296ed8f8860be
2023,1,3.6,6.3,2.5,2.0,I,,,,,8605bc79d9e99dd373d397a74a41f57f
2023,1,7.4,6.3,6.5,9.5,A,,,,,9e586049ba6f80a537b3de2d0094f655
2023,1,5.4,6.8,5.5,4.0,A-,,,,,2ea8babf5d304653b6398ec64a322a7d
2023,1,3.0,5.0,3.0,1.0,I,,,,,5e63aa9fa77913bb9b9344bc815299fb
2023,1,1.4,1.8,2.5,0.0,I,,,,,74ce4f38494c9bc60f7f335149409d2a
2023,1,6.0,4.8,7.3,6.0,A,,,,,e12d4cc772075b6c00262ca2471bd5b5
2023,1,3.5,8.0,1.5,1.0,I,,,,,d43b75b56a9e314f1a7f9b6f17761a26
2023,1,7.4,6.8,8.5,7.0,A,,,,,eb31cad1f0e9d63f3e08c988aeee49df
2023,1,4.5,7.5,2.0,4.0,I,,,,,e34f50138a2c5feb622f50cdd037827b
2023,1,5.3,4.8,6.0,5.0,A-,,,,,b00dc9c29254e31cfddfee14934824bd
2023,1,8.3,6.3,9.5,9.3,A,,,,,c35cd54c899ca930d7c90ebb5d7baa9c
2023,1,0.0,0.0,0.0,0.0,NE,,,,,6beedbabcc9940b5746e7fa9f1ca75b9
2023,1,0.0,0.0,0.0,0.0,NE,,,,,e80a574a4f0c2e1504fbe45f3f89cf6f
2023,1,4.8,5.8,5.5,3.0,I,,,,,7b8184fad57adfce362056b51fa89d1e
2023,1,6.4,6.8,6.5,6.0,A,,,,,2d8888bd7f1b2384b8809167d9252d84
2023,1,0.0,0.0,0.0,0.0,NE,,,,,33e2159e7940d0b4b02ebc49eede02e6
2023,1,0.0,0.0,0.0,0.0,NE,,,,,5aeaf60fd1758198bcb293164a37605b
2023,1,7.7,9.0,7.0,7.0,A,,,,,47449051c3a95b70ef131aff5cc1f4ce
2023,1,8.3,9.0,7.0,9.0,A,,,,,4b3effd2b0d344f94a2cdad63b2f3ea8
2023,1,6.0,8.8,3.3,6.0,A,,,,,195cff403d8040a50c8c08bf1bc115ab
2023,1,8.6,7.5,9.0,9.3,A,,,,,e490e9b67a265b185261123ca27523aa
2023,1,0.3,0.0,1.0,0.0,I,,,,,2daef09d9e4dce80bd4f4e617e6fc3c9
2023,1,1.2,3.5,0.0,0.0,I,,,,,d0e11e3f0c32bfc778c400ff8644eb84
2023,1,1.2,3.5,0.0,0.0,I,,,,,b2035200dbccbf976ececb55bd160879
2023,1,8.0,8.0,6.5,9.5,A,,,,,5b7084e4e320326168c9ebf1e8f936b7
2023,1,6.2,5.5,7.0,6.0,A,,,,,cd27d94c004b33b6b4078e094a144c92
2023,1,0.0,0.0,0.0,0.0,NE,,,,,665ca8d2e7242ac4e34543857e61dac2
2023,1,2.7,2.5,1.0,4.5,I,,,,,02e14221ebe63292113fea0f629bcb99
2023,1,4.5,8.5,5.0,0.0,I,,,,,74f120308af60859364a1960decc2ebf
2023,1,1.0,3.0,0.0,0.0,I,,,,,49723db0ec1a262919701d319cf58959
2023,1,5.6,6.8,4.0,6.0,A-,,,,,fb6ecd91cff0f306693a7d63735a2ea6
2023,1,2.1,5.3,1.0,0.0,I,,,,,ab6367c08d31a0c3c9a702a6c9c06cc8
2023,1,6.3,8.5,2.0,8.5,A,,,,,590c002934d32323fa35b84577ea8611
2023,1,4.1,7.3,4.0,1.0,I,,,,,99e6fd00de82014a331402a69d20b5ba
2023,1,6.3,6.8,7.0,5.0,A,,,,,9115f6e33c69ae219b0f9c54cc5b992c
2023,1,7.7,9.3,3.8,10.0,A,,,,,475108ac59f649b4afafb717fe2389c7
2023,1,7.3,9.5,4.3,8.0,A,,,,,f222d9c836e8e865e43e763d0dfed7b8
2023,1,6.3,4.5,6.5,8.0,A,,,,,dcaba81f315068e5126d1da7f63dad18
2023,1,1.3,1.3,2.0,0.8,I,,,,,9d34032cb2ae9f1f01452c32393cc702
2023,1,1.6,1.3,2.5,1.0,I,,,,,3009fb0a1ad3a4ebc6988a38549646b2
2023,1,3.4,6.8,1.5,2.0,I,,,,,8ecd214c64688f75247c03011d20f38e
2023,1,0.0,0.0,0.0,0.0,NE,,,,,2c85ce9e1b7ab0787706dab120196771
2023,1,1.3,4.0,0.0,0.0,I,,,,,53758c671a728b2163d887eea6ca044d
2023,1,0.0,0.0,0.0,0.0,NE,,,,,20d7161a4445f7c3c56b88c5b4cbc969